Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref68,cid4641964,Artifacts,Blotters,"Cohen, S. Newburgh, NY, Three blotters with a lithograph cover of a fashionable woman, from S. Cohen","Three blotters with a lithograph cover of a fashionable woman, from S. Cohen","Cohen, S.",,,"Newburgh, NY",1885,Drawer,Mixed materials,Judaica Americana,Folder,NY 401,doc_ja_ny_401_1r.tif; doc_ja_ny_401_1v.tif; doc_ja_ny_401_2r.tif; doc_ja_ny_401_2v.tif; doc_ja_ny_401_3r.tif; doc_ja_ny_401_3v.tif; doc_ja_ny_401_4r.tif; doc_ja_ny_401_4v.tif
ref69,cid4641963,Artifacts,Blotters,"Cohen. Norristown, PA, Blotter with picture of man and daughter. Ad for O'Sullivan's heels",Blotter with picture of man and daughter. Ad for O'Sullivan's heels,,,Cohen,"Norristown, PA",1900,Drawer,Mixed materials,Blotters,Folder,4,doc_bl_4_1r.tif; doc_bl_4_1v.tif
ref70,cid4641962,Artifacts,Blotters,"Edlestein, R. Akron, PA, Blotter used as advertising object for R. Edlestein, ladies' and gents' tailor","Blotter used as advertising object for R. Edlestein, ladies' and gents' tailor","Edlestein, R.",,,"Akron, PA",1900,Drawer,Mixed materials,Blotters,Folder,23,doc_bl_23_1r.tif; doc_bl_23_1v.tif
ref71,cid4641961,Artifacts,Blotters,"Enterprise Cleaning and Dyeing Co. Camden, NJ",,,,Enterprise Cleaning and Dyeing Co.,"Camden, NJ",undated,Drawer,Mixed materials,Blotters,Folder,20,doc_bl_20_1r.tif; doc_bl_20_1v
ref72,cid4641960,Artifacts,Blotters,"Fleischner, P. Philadelphia, PA, Blotter with picture of mountains as advertising object for P. Fleischner",Blotter with picture of mountains as advertising object for P. Fleischner,"Fleischner, P.",,,"Philadelphia, PA",1885,Drawer,Mixed materials,Blotters,Folder,12,doc_bl_12_1r.tif; doc_bl_12_1v.tif
ref73,cid4641959,Artifacts,Blotters,"Germania Fire Insurance Co. Falls Village, CT, Blotter listing the total assets of the Germania Fire Insurance Company as of July 1, 1868","Blotter listing the total assets of the Germania Fire Insurance Company as of July 1, 1868",,,Germania Fire Insurance Co.,"Falls Village, CT",1868,Drawer,Mixed materials,Blotters,Folder,2,doc_bl_2_1r.tif; doc_bl_2_1v.tif
ref74,cid4641958,Artifacts,Blotters,"Goldstein Bros. New York, NY, Blotter used as ad by Goldstein Bros. with a drawing of a women in a fur coat on the phone",Blotter used as ad by Goldstein Bros. with a drawing of a women in a fur coat on the phone,,,Goldstein Bros.,"New York, NY",1890,Drawer,Mixed materials,Blotters,Folder,14,doc_bl_14_1r.tif; doc_bl_14_1v.tif
ref75,cid4641957,Artifacts,Blotters,"Goodman and Cowen, D. New York, NY, Blotter used as ad by Goodman for matzoths",Blotter used as ad by Goodman for matzoths,Goodman,"Cowen, D.",,"New York, NY",1900,Drawer,Mixed materials,Blotters,Folder,10,doc_bl_10_1r.tif; doc_bl_10_1v.tif
ref76,cid4641956,Artifacts,Blotters,"Katzman, S. Allentown, PA, Blotter used as ad for S. Katzman, designer and manufacturer of furs, with a picutre of a woman in a fur wrap","Blotter used as ad for S. Katzman, designer and manufacturer of furs, with a picutre of a woman in a fur wrap","Katzman, S.",,,"Allentown, PA",1885,Drawer,Mixed materials,Blotters,Folder,16,doc_bl_16_1r.tif; doc_bl_16_1v.tif
ref77,cid4641955,Artifacts,Blotters,"Levitoff, S. Altoona, PA, Blotter used as ad for S. Levitoff, with a picture of the store and a price list","Blotter used as ad for S. Levitoff, with a picture of the store and a price list","Levitoff, S.",,,"Altoona, PA",1900,Drawer,Mixed materials,Blotters,Folder,42130,doc_bl_5_1r.tif; doc_bl_5_1v.tif; doc_bl_6_1r.tif; doc_bl_6_1v.tif
