	Jonathan Edwards	Benjamin Franklin	George Washington	James Logan	John Adams	Massachusetts Bay Colony	Richard Mather	Thomas Jefferson	William Byrd
Meir ben Chayyim Eisenstadt	0	0	0	0.1	0	0	0	0	0
Michael Burghers	0	0	0	0	0	0	0	0.1	0
Michael Dodson	0	0	0	0	0.1	0	0	0	0
Michael Zinman	0	0	0	0	0	0	0	0.1	0.1
Mordecai Nathan	0	0	0	0	0	0	0.1	0	0
Moses ben Israel Isserles	0	0	0	0.1	0	0	0	0	0
Moses ben Naphtali Hirsch Rivkes	0	0	0	0.1	0	0	0	0	0
MuhÌ£ammad Ibn AÌÅli al-Rahbi	0	0.1	0	0	0	0	0	0	0
Murtagh King	0	0	0	0	0	0	0	0.1	0
Narcissus Marsh	0	0	0	0	0	0	0	0.1	0
Nathanael Emmons	0	0.1	0	0	0	0	0	0	0
Nathaniel Thompson	0	0	0	0	0	0	0	0.1	0
NicolaÌÅs Pradel	0	0.1	0	0	0	0	0	0	0
Nicolau Eymeric	0	0.1	0	0	0	0	0	0	0
Nicolaus Episcopius	0	0	0	0.1	0	0	0	0	0
Origen.	0	0	0	0	0	0	0	0.1	0
P  Terentius Varro Atacinus	0	0	0	0	0	0	0	0.1	0
Paulus Eberus	0	0	0	0.1	0	0	0	0	0
Peter Annet	0	0	0	0	0	0	0	0.1	0
Peter Maverick	0	0	0.1	0	0	0	0	0	0
Petrus Cunaeus	0	0.1	0	0.1	0	0	0	0	0.1
Philip Miller	0	0.1	0	0.1	0	0	0	0	0.1
Philip Nye	0	0	0	0	0	0	0.1	0	0
"Philo, of Alexandria."	0	0	0	0.2	0	0	0	0.1	0
"Philo, of Byblos."	0	0	0	0	0	0	0	0.1	0
"Philostratus, the Athenian"	0	0	0	0	0	0	0	0.1	0
Pierre de La RovieÌ€re	0	0	0	0	0	0	0.1	0	0.1
Pierre Martinez	0	0	0	0	0	0	0.1	0	0
Pietro Andrea Mattioli	0	0	0	0.1	0	0	0	0	0
"Porphyrios, metropolitan of Nicaea."	0	0	0	0.1	0	0	0	0	0
Pythagoras.	0	0	0	0	0	0	0	0.1	0
Richard Allestree	0	0	0	0	0	0	0	0.1	0
Richard Brothers	0	0	0.2	0	0	0	0	0	0
Richard Cruttwell	0	0	0.1	0	0	0	0	0	0
Richard Cumberland	0	0	0	0	0	0	0	0.1	0
Richard Hayes	0	0	0.1	0	0	0	0	0	0
Richard Mather	0	0	0	0	0	0	0.1	0	0
Richard Mayo	0	0	0	0	0	0	0.1	0	0
Richard Watson	0	0	0	0	0	0	0	0.3	0
Robert Arnauld d'Andilly	0	0	0	0.1	0.1	0	0	0	0
"Robert Bellarmin, saint"	0	0	0	0	0.1	0	0	0	0
Robert Boyle	0	0	0	0	0	0	0.1	0	0
Robert Filmer	0	0	0	0	0	0	0.1	0	0
Robert Kirk	0	0	0	0	0	0	0	0.1	0
Robert Lowth	0	0	0	0	0.1	0	0	0.2	0
Rodolphus Goclenius	0	0	0	0	0	0	0.1	0	0
"Rufinus, of Aquileia"	0	0	0	0	0	0	0	0.1	0
Rutilius Taurus Aemilianus Palladius	0	0	0	0	0	0	0	0.1	0
S C	0	0.1	0	0	0	0	0	0	0
Samuel Clark	0	0	0	0	0	0	0	0.1	0.3
Samuel Newman	0	0	0	0	0.1	0	0	0.1	0.1
Sanchuniathon.	0	0	0	0	0	0	0	0.1	0
Sante Pagnino	0	0	0	0.1	0	0	0.2	0	0.1
SeÌÅbastien Castellion	0	0	0	0	0	0	0	0.1	0
Shelomoh Ê»Adani	0	0	0	0.1	0	0	0	0	0
Siwart Haverkamp	0	0	0	0	0	0	0	0.1	0
Sixtinus Amama	0	0	0	0	0	0	0.1	0	0
Squier Payne	0	0	0	0	0	0	0	0.2	0
Stephen Day	0	0	0	0	0	0	0.1	0	0
TheÌÅodore de BeÌ€ze	0	0	0	0	0	0	0.1	0.2	0
Thomas Barlow	0	0	0	0	0	0	0	0	0
Thomas Downes	0	0	0	0	0.1	0	0	0	0
Thomas Erpenius	0	0	0	0.6	0	0	0	0	0
Thomas Gale	0	0	0	0	0	0	0	0.1	0
Thomas Goodinge	0	0	0.1	0	0	0	0	0	0
Thomas Goodwin	0	0	0	0.1	0	0	0	0	0
Thomas Hyde	0	0	0	0.1	0	0	0	0	0
Thomas Jefferson	0	0	0	0	0	0	0	0	0
Thomas Mangey	0	0	0	0	0	0	0	0.1	0
Thomas Morgan	0	0	0	0.1	0	0	0	0	0
Thomas Parkhurst	0	0	0	0	0.1	0	0	0	0
Thomas Roycroft	0	0	0	0.1	0	0	0	0	0
Thomas Scott	0	0	0	0	0	0	0	0.1	0
Thomas Shelton	0	0	0	0	0	0	0	0.1	0
Thomas Stackhouse	0	0	0	0	0	0	0	0.1	0.1
Thomas Sternhold	0	0	0	0	0	0	0.1	0	0.1
Thomas Van Erpe	0	0	0	0.2	0	0	0	0	0
Thomas Wagstaffe	0	0.1	0	0	0	0	0	0	0
Thomas Weld	0	0	0	0	0	0	0.1	0	0
Valentin Schindler	0	0	0	0.1	0	0	0.1	0	0.1
Vavasor Powell	0	0.1	0	0	0	0	0	0	0
Voltaire	0	0	0	0	0.3	0	0	0	0
White Kennett	0	0.1	0	0	0	0	0	0	0
