Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref217,cid4641822,Documents,Billheads,"Auerbach, Frederick. Salt Lake City, UT, Bill for Frederick Auerbach and Brother",Bill for Frederick Auerbach and Brother,"Auerbach, Frederick",,,"Salt Lake City, UT",1886 January 28,Drawer,Mixed materials,Billheads Post-1880,Folder,UT 881-882,doc_bhl_ut_881_1r.tif; doc_bhl_ut_881_1v.tif; doc_bhl_ut_882_1r.tif; doc_bhl_ut_882_1v.tif,,,,Billheads,"Auerbach, Frederick"
ref218,cid4641821,Documents,Billheads,"Auerbach, L. and Auerbach, William J. Helena, MT, Bill for L. Auerbach and Bro.: Teas, spices, wines and liquors","Bill for L. Auerbach and Bro.: Teas, spices, wines and liquors","Auerbach, L.","Auerbach, William J.",,"Helena, MT",1875 May 3,Drawer,Mixed materials,Billheads Pre-1880,Folder,MT 955,doc_bhe_mt_955_1r.tif; doc_bhe_mt_955_1v.tif,,,,Billheads,"Auerbach, L."
ref219,cid4641820,Documents,Billheads,"Auerbach, L. and Auerbach, William J. Helena, MT, Bill for L. Auerbach and Bro.: Teas, spices, wines and liquors","Bill for L. Auerbach and Bro.: Teas, spices, wines and liquors","Auerbach, L.","Auerbach, William J.",,"Helena, MT",1874 November 16,Folder,Mixed materials,Binder O,Page,7,lbr_fo_s7_1r.tif; lbr_fo_s7_1v.tif,,,,Billheads,"Auerbach, L."
ref220,cid4641819,Documents,Billheads,"Auerbach. Helena, MT, Bill for Auerbach, Wells and Co.: Wine, liquors, and Singer sewing machines","Bill for Auerbach, Wells and Co.: Wine, liquors, and Singer sewing machines",Auerbach,,,"Helena, MT",1879 February 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,MT 956,doc_bhe_mt_956_1r.tif; doc_bhe_mt_956_1v.tif,,,,Billheads,Auerbach
ref221,cid4641818,Documents,Billheads,"Awerbach, I. New York, NY, Bill for I. Awerbach: Jobber in teas and coffee",Bill for I. Awerbach: Jobber in teas and coffee,"Awerbach, I.",,,"New York, NY",1899 March 2,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 457,doc_bhl_nyc_457_1r.tif; doc_bhl_nyc_457_1v.tif,,,,Billheads,"Awerbach, I."
ref222,cid4641817,Documents,Billheads,"B. Altman & Co. New York, NY, Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods","Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods",,,B. Altman & Co.,"New York, NY",1896 August 1,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 425,doc_bhl_nyc_425_1r.tif; doc_bhl_nyc_425_1v.tif,,,,Billheads,
ref223,cid4641816,Documents,Billheads,"B. Altman & Co. New York, NY, Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods","Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods",,,B. Altman & Co.,"New York, NY",1899 July 1,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 462,doc_bhl_nyc_462_1r.tif; doc_bhl_nyc_462_1v.tif,,,,Billheads,
ref224,cid4641815,Documents,Billheads,"B. Altman & Co. New York, NY, Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods","Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods",,,B. Altman & Co.,"New York, NY",1897 June 6,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 426,doc_bhl_nyc_426_1r.tif; doc_bhl_nyc_426_1v.tif,,,,Billheads,
ref225,cid4641814,Documents,Billheads,"B. Altman & Co. New York, NY, Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods","Bill from B. Altman and Co.: Importers and manufacturers of fine costumes, ladies and children's underclothing, and general dry goods",,,B. Altman & Co.,"New York, NY",1893 October 2,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 455,doc_bhl_nyc_455_1r.tif; doc_bhl_nyc_455_1v.tif,,,,Billheads,
ref226,cid4641813,Documents,Billheads,"B. Dreyfus and Co. San Francisco, CA, Invoice to Bufford from B. Dreyfus and Co",Invoice to Bufford from B. Dreyfus and Co,,,B. Dreyfus and Co.,"San Francisco, CA",1889 October 1,Drawer,Mixed materials,Billheads Post-1880,Folder,SF 63,doc_bhl_sf_63_1r.tif; doc_bhl_sf_63_1v.tif,,,,Billheads,
