Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref1464,cid4640583,Documents,Broadsides,"Judah, Samuel N. and Tobias, Tobias I. New York, NY, Printed letter from the Committee of Congregation Shearith Israel searching for a teacher",Printed letter from the Committee of Congregation Shearith Israel searching for a teacher,"Judah, Samuel N.","Tobias, Tobias I.",,"New York, NY",1857 May 26,Drawer,Mixed materials,Judaica Americana,Folder,NYC 998,doc_ja_nyc_998_1r.tif; doc_ja_nyc_998_1v.tif,,,,Broadsides,"Judah, Samuel N."
ref1465,cid4640582,Documents,Broadsides,"Kakas Brothers. Boston, MA, Broadside from Kakas Brothers with printed price list for fur purchases",Broadside from Kakas Brothers with printed price list for fur purchases,Kakas Brothers,,,"Boston, MA",1885,Drawer,Mixed materials,Billheads Post-1880,Folder,MA 282,doc_bhl_ma_282_1r.tif; doc_bhl_ma_282_1v.tif,,,,Broadsides,Kakas Brothers
ref1466,cid4640581,Documents,Broadsides,"Kaufman, A. C. Charleston, SC, Quotation sheet for bonds, stocks, and coupons, issued weekly by A. C. Kaufman, banker and broker","Quotation sheet for bonds, stocks, and coupons, issued weekly by A. C. Kaufman, banker and broker","Kaufman, A. C.",,,"Charleston, SC",1871 July 28,Folder,Mixed materials,Binder K,Page,10a,lbr_fk_s9_1r.tif; lbr_fk_s9_1r.tif,,,,Broadsides,"Kaufman, A. C."
ref1467,cid4640580,Documents,Broadsides,"Kirstein and Hambro. New York, NY, Advertisement of dresses with prices listed",Advertisement of dresses with prices listed,,,Kirstein and Hambro,"New York, NY",1900,Box,Mixed materials,2,Object,17,bx2_17_1r.tif; bx2_17_1v.tif,,,,Broadsides,
ref1468,cid4640579,Documents,Broadsides,"Koch, H. C. F. New York, NY, Broadside ad on blue cardboard for H.C.F. Koch",Broadside ad on blue cardboard for H.C.F. Koch,"Koch, H. C. F.",,,"New York, NY",1885,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 588,doc_bhl_nyc_588_1r.tif; doc_bhl_nyc_588_1v.tif,,,,Broadsides,"Koch, H. C. F."
ref1469,cid4640578,Documents,Broadsides,"Kolasky and Ober. New York, NY, Broadside for American Hair Works, with a printed list of different types of braids and imported hair","Broadside for American Hair Works, with a printed list of different types of braids and imported hair",Kolasky,Ober,,"New York, NY",1873 April 8,Drawer,Mixed materials,Judaica Americana,Folder,NYC 907,doc_ja_nyc_907_1r.tif; doc_ja_nyc_907_1v.tif,,,,Broadsides,Kolasky
ref1470,cid4640577,Documents,Broadsides,"Kuhn & Co. Philadelphia, PA, Broadside for Kuhn and Co., with detailed two-sded list of prices","Broadside for Kuhn and Co., with detailed two-sded list of prices",,,Kuhn & Co.,"Philadelphia, PA",1804 December 4,Folder,Mixed materials,Binder P,Page,1,lbr_fp_s1_1r.tif; lbr_fp_s1_1v.tif,,,,Broadsides,
ref1471,cid4640576,Documents,Broadsides,"Lauer, Lewis and Lauer, Ignatius. Baltimore, MD, Broadside and invitation from the Directors of the Baltimore United Hebrew Assistance Society for a general meeting at Rechabite Hall. Giving notice that while the needs of poor increase, the membership at $3.00 per year decreases","Broadside and invitation from the Directors of the Baltimore United Hebrew Assistance Society for a general meeting at Rechabite Hall. Giving notice that while the needs of poor increase, the membership at $3.00 per year decreases","Lauer, Lewis","Lauer, Ignatius",,"Baltimore, MD",1853 February 1,Drawer,Mixed materials,Judaica Americana,Folder,MD 226,doc_ja_md_226_1r.tif; doc_ja_md_226_1v.tif,,,,Broadsides,"Lauer, Lewis"
ref1472,cid4640575,Documents,Broadsides,"Lazard, Freres. San Francisco, CA, Ad announcing the movement of the Lazard Bros. dry goods store",Ad announcing the movement of the Lazard Bros. dry goods store,"Lazard, Freres",,,"San Francisco, CA",1869 February 10,Folder,Mixed materials,Binder J,Page,15,lbr_fj_s15_1r.tif; lbr_fj_s15_1v.tif; lbr_fj_s15_2r.tif; lbr_fj_s15_2v.tif,,,,Broadsides,"Lazard, Freres"
ref1473,cid4640574,Documents,Broadsides,"Lazarus, Harry. Tompkinsville, KY, Broadside from Harry Lazarus advertising his desire to buy mules and horses",Broadside from Harry Lazarus advertising his desire to buy mules and horses,"Lazarus, Harry",,,"Tompkinsville, KY",1903 December 26,Drawer,Mixed materials,Billheads Post-1880,Folder,KY 236,doc_bhl_ky_236_1r.tif; doc_bhl_ky_236_1v.tif; doc_bhl_ky_236_2r.tif; doc_bhl_ky_236_2v.tif,,,,Broadsides,"Lazarus, Harry"
ref1474,cid4640573,Documents,Broadsides,"Lazarus, Joshua. Charleston, SC, Broadside stating the terms upon which the public will be supplied with gas by the Charleston Gas Light Company, signed by Joshua Lazarus (1791-1861), president and founder of the Charleston Gas Light Co., and president of the Kahal Kadosh Beth Elohim Synagogue","Broadside stating the terms upon which the public will be supplied with gas by the Charleston Gas Light Company, signed by Joshua Lazarus (1791-1861), president and founder of the Charleston Gas Light Co., and president of the Kahal Kadosh Beth Elohim Synagogue","Lazarus, Joshua",,,"Charleston, SC",1850,Drawer,Mixed materials,Judaica Americana,Folder,SC 583,doc_ja_sc_583_1r.tif; doc_ja_sc_583_1v.tif; doc_ja_sc_583_2r.tif; doc_ja_sc_583_2v.tif,,,,Broadsides,"Lazarus, Joshua"
ref1475,cid4640572,Documents,Broadsides,"Leeser, Isaac and Goldstein, Isaac. New York, NY, Acrostic broadside of the death of Isaac Leeser in English and in Hebrew, made by Isaac Goldstein. It includes a lithograph of Leeser, and was printed by J. Davis","Acrostic broadside of the death of Isaac Leeser in English and in Hebrew, made by Isaac Goldstein. It includes a lithograph of Leeser, and was printed by J. Davis","Leeser, Isaac","Goldstein, Isaac",,"New York, NY",1868,Drawer,Mixed materials,Leeser,Folder,Philadelphia,LSKAP0239_1r.tif,,,,Broadsides,"Leeser, Isaac"
ref1476,cid4640571,Documents,Broadsides,"Leeser, Isaac and Wise, Isaac Mayer. Philadelphia, PA, A printed letter from Isaac Leeser, Isaac Mayer Wise, and Dr. Lilienthal, calling for a national meeting of Jewish leaders to address the various ills of Judaism in the United States. It asks that all congregations respond to Leeser, as secretary. This was the first known attempt have a national meeting on the ills of Judaism in United States","A printed letter from Isaac Leeser, Isaac Mayer Wise, and Dr. Lilienthal, calling for a national meeting of Jewish leaders to address the various ills of Judaism in the United States. It asks that all congregations respond to Leeser, as secretary. This was the first known attempt have a national meeting on the ills of Judaism in United States","Leeser, Isaac","Wise, Isaac Mayer",,"Philadelphia, PA",1849 April 1,Drawer,Mixed materials,Leeser,Folder,Philadelphia,LSKAP0177_1r.tif; LSKAP0177_2v.tif,,,,Broadsides,"Leeser, Isaac"
ref1477,cid4640570,Documents,Broadsides,"Leeser, Isaac. Philadelphia, PA, Circular broadside announcing the formation of the American Jweish Publication Society, issued by Isaac Leeser as the corresponding secretary","Circular broadside announcing the formation of the American Jweish Publication Society, issued by Isaac Leeser as the corresponding secretary","Leeser, Isaac",,,"Philadelphia, PA",1845 December 10,Drawer,Mixed materials,Leeser,Folder,Philadelphia,LSKAP0160_1r.tif,,,,Broadsides,"Leeser, Isaac"
ref1478,cid4640569,Documents,Broadsides,"Leeser, Issac. Philadelphia, PA, A dated subscription form issued by Isaac Leeser, advising that he has completed his eight ""volume"" and is still publishing","A dated subscription form issued by Isaac Leeser, advising that he has completed his eight ""volume"" and is still publishing","Leeser, Issac",,,"Philadelphia, PA",1852 October 23,Drawer,Mixed materials,Leeser,Folder,Philadelphia,il_kaplan_17_766_body0001.tif,,,,Broadsides,"Leeser, Issac"
ref1479,cid4640568,Documents,Broadsides,"Lehman, H. and Wertheim, Carrie. New York, NY, Broadside with detailed price list for furs and ""Aunt Carrie's rheumkeene,"" manufactured by Carrie Wertheim and distributed by H. Lehman, furrier","Broadside with detailed price list for furs and ""Aunt Carrie's rheumkeene,"" manufactured by Carrie Wertheim and distributed by H. Lehman, furrier","Lehman, H.","Wertheim, Carrie",,"New York, NY",1890 April 1,Drawer,Mixed materials,Judaica Americana Oversize,Folder,32-33,doc_jal_33_1r.tif; doc_jal_33_1v.tif; doc_jal_33_2r.tif; doc_jal_33_2v.tif; doc_jal_33_3r.tif; doc_jal_33_3v.tif; doc_jal_33_4r.tif; doc_jal_33_4v.tif; doc_jal_33_5r.tif; doc_jal_33_5v.tif; doc_jal_32_1r.tif; doc_jal_32_1v.tif; doc_jal_32_2r.tif; doc_jal_32_2v.tif,,,,Broadsides,"Lehman, H."
ref1480,cid4640567,Documents,Broadsides,"Leider, Ben. New York, NY, Report of Ben Leider's death",Report of Ben Leider's death,"Leider, Ben",,,"New York, NY",1934,Drawer,Mixed materials,Judaica Americana,Folder,NYC 918,doc_ja_nyc_918_1r.tif; doc_ja_nyc_918_1v.tif,,,,Broadsides,"Leider, Ben"
ref1481,cid4640566,Documents,Broadsides,"Levi Brothers. Philadelphia, PA, Broadside from the Levi Brothers, sponsoring the ""7 Links Variety Co.""","Broadside from the Levi Brothers, sponsoring the ""7 Links Variety Co.""",,,Levi Brothers,"Philadelphia, PA",1886 April 8,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 132,doc_ja_phil_132_1r.tif; doc_ja_phil_132_1v.tif,,,,Broadsides,
ref1482,cid4640565,Documents,Broadsides,"Levison Bros. San Francisco, CA, broadside for the Levison Bros., the ""California Jewelrey Company,"" with a folded price list and a lithograph of the store","broadside for the Levison Bros., the ""California Jewelrey Company,"" with a folded price list and a lithograph of the store",,,Levison Bros.,"San Francisco, CA",1885,Drawer,Mixed materials,Billheads Post-1880,Folder,SF 124,doc_bhl_sf_124_1r.tif; doc_bhl_sf_124_1v.tif,,,,Broadsides,
ref1483,cid4640564,Documents,Broadsides,"Levy, Benjamin. New Orleans, LA, A broadside for ""Levy's current letter sheet prices,"" printed by Benjamin Levy (1786-1860), the first Jewish printer in America","A broadside for ""Levy's current letter sheet prices,"" printed by Benjamin Levy (1786-1860), the first Jewish printer in America","Levy, Benjamin",,,"New Orleans, LA",1839 October 26,Drawer,Mixed materials,Judaica Americana,Folder,LA 145,doc_ja_la_145_1r.tif; doc_ja_la_145_1v.tif; doc_ja_la_145_2r.tif; doc_ja_la_145_2v.tif,,,,Broadsides,"Levy, Benjamin"
ref1484,cid4640563,Documents,Broadsides,"Levy, Benjamin. New Orleans, LA, A broadside for ""Levy's current letter sheet prices,""printed by Benjamin Levy (1786-1860), the first Jewish printer in America","A broadside for ""Levy's current letter sheet prices,""printed by Benjamin Levy (1786-1860), the first Jewish printer in America","Levy, Benjamin",,,"New Orleans, LA",1833 January 19,Drawer,Mixed materials,Judaica Americana,Folder,LA 140,doc_ja_la_140_1r.tif; doc_ja_la_140_1v.tif; doc_ja_la_140_2r.tif; doc_ja_la_140_2v,,,,Broadsides,"Levy, Benjamin"
ref1485,cid4640562,Documents,Broadsides,"Levy, Benjamin. New Orleans, LA, A broadside for ""New Orleans current wholesale prices,"" printed by Benjamin Levy (1786-1860), the first Jewish printer in America","A broadside for ""New Orleans current wholesale prices,"" printed by Benjamin Levy (1786-1860), the first Jewish printer in America","Levy, Benjamin",,,"New Orleans, LA",1835 August 1,Folder,Mixed materials,Binder L,Page,26,lbr_fl_s26_1r.tif; lbr_fl_s26_1v.tif; lbr_fl_s26_2r.tif; lbr_fl_s26_2v.tif,,,,Broadsides,"Levy, Benjamin"
ref1486,cid4640561,Documents,Broadsides,"Levy, Benjamin. New Orleans, LA, A broadside for ""New Orleans current wholesale prices,"" printed by Benjamin Levy (1786-1860), the first Jewish printer in America","A broadside for ""New Orleans current wholesale prices,"" printed by Benjamin Levy (1786-1860), the first Jewish printer in America","Levy, Benjamin",,,"New Orleans, LA",1834 March 8,Folder,Mixed materials,Binder N,Page,12,lbr_fn_s12_1r.tif; lbr_fn_s12_1v.tif; lbr_fn_s12_2r.tif; lbr_fn_s12_2v.tif,,,,Broadsides,"Levy, Benjamin"
ref1487,cid4640560,Documents,Broadsides,"Levy, H. Havre De Grace, MD, Broadside for H. Levy, advertising clothing and prices of a big sale","Broadside for H. Levy, advertising clothing and prices of a big sale","Levy, H.",,,"Havre De Grace, MD",1890,Drawer,Mixed materials,Judaica Americana,Folder,MD 225,doc_ja_md_225_1r.tif; doc_ja_md_225_1v.tif,,,,Broadsides,"Levy, H."
ref1488,cid4640559,Documents,Broadsides,"Levy, Jacob. Easton, PA, Broadside announcing the opening of a new store for men's and boys' clothing by Jacob Levy",Broadside announcing the opening of a new store for men's and boys' clothing by Jacob Levy,"Levy, Jacob",,,"Easton, PA",1870,Drawer,Mixed materials,Judaica Americana,Folder,PA 488,doc_ja_pa_488_1r.tif; doc_ja_pa_488_1v.tif,,,,Broadsides,"Levy, Jacob"
ref1489,cid4640558,Documents,Broadsides,"Levy, Jonas Phillips. Washington, DC, A printed broadside for ""The memorial fo Capt. Jonas Levy, who transported troops in the Battle of Vera Cruz, as the captain of the ""American"". On both sides, details of his claims and losses are listed","A printed broadside for ""The memorial fo Capt. Jonas Levy, who transported troops in the Battle of Vera Cruz, as the captain of the ""American"". On both sides, details of his claims and losses are listed","Levy, Jonas Phillips",,,"Washington, DC",1882,Drawer,Mixed materials,Government and Military,Folder,2,doc_gml_2_1r.tif; doc_gml_2_1v.tif; doc_gml_2_2r.tif; doc_gml_2_2v.tif,,,,Broadsides,"Levy, Jonas Phillips"
ref1490,cid4640557,Documents,Broadsides,"Levy, S. Nashville, TN, Broadside on a postcard from the Porter National Detective Agency, offering a $50 reward for S. Levy, a polish jew, wanted for grand larceny","Broadside on a postcard from the Porter National Detective Agency, offering a $50 reward for S. Levy, a polish jew, wanted for grand larceny","Levy, S.",,,"Nashville, TN",1891 July 10,Drawer,Mixed materials,Judaica Americana,Folder,TN 620,doc_ja_tn_620_1r.tif; doc_ja_tn_620_1v.tif,,,,Broadsides,"Levy, S."
ref1491,cid4640556,Documents,Broadsides,"Levy, Uriah P. and Levy, Jonas Phillips. New York, NY",,"Levy, Uriah P.","Levy, Jonas Phillips",,"New York, NY",1863,Folder,Mixed materials,Binder G,Page,38,lbr_fg_s38_1r.tif; lbr_fg_s38_1v.tif,,,,Broadsides,"Levy, Uriah P."
ref1492,cid4640555,Documents,Broadsides,"Levy. Portland, ME, Broadside advertising Professor Levy, a traveling optician and oculist","Broadside advertising Professor Levy, a traveling optician and oculist",Levy,,,"Portland, ME",1870,Folder,Mixed materials,Binder M,Page,20,lbr_fm_s20_1r.tif; lbr_fm_s20_1v.tif,,,,Broadsides,Levy
ref1493,cid4640554,Documents,Broadsides,"M. Engelhardt & Co. Boston, MA, Advertisement for grocier",Advertisement for grocier,,,M. Engelhardt & Co.,"Boston, MA",undated,Folder,Mixed materials,Binder K,Page,49b,lbr_fk_s49b_1r.tif; lbr_fk_s49b_1v.tif,,,,Broadsides,
ref1494,cid4640553,Documents,Broadsides,"Mandelbaum, Jacob and Stern, Abraham. Hartford, CT",,"Mandelbaum, Jacob","Stern, Abraham",,"Hartford, CT",1875,Folder,Mixed materials,Binder G,Page,39,lbr_fg_s39_1r.tif; lbr_fg_s39_1v.tif,,,,Broadsides,"Mandelbaum, Jacob"
ref1495,cid4640552,Documents,Broadsides,"Maretzek, Max. Boston, MA",,"Maretzek, Max",,,"Boston, MA",1866 November 17,Drawer,Mixed materials,Judaica Americana,Folder,MA 262,doc_ja_ma_262_1r.tif; doc_ja_ma_262_1v.tif,,,,Broadsides,"Maretzek, Max"
ref1496,cid4640551,Documents,Broadsides,"Maretzek, Max. Philadelphia, PA",,"Maretzek, Max",,,"Philadelphia, PA",1877 February 20,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 166,doc_ja_phil_166_1r.tif; doc_ja_phil_166_1v.tif,,,,Broadsides,"Maretzek, Max"
ref1497,cid4640550,Documents,Broadsides,"Mark Levy and Brothers. New York, NY, Advertising circular of Mark Levy and Brothers, importers of French and English stationary, fancy goods, playing and visiting cards, etc. The circular, sent to customers, informs them of new stock, and reminds them that Levy still manufactures circular pointed metalline pens","Advertising circular of Mark Levy and Brothers, importers of French and English stationary, fancy goods, playing and visiting cards, etc. The circular, sent to customers, informs them of new stock, and reminds them that Levy still manufactures circular pointed metalline pens",,,Mark Levy and Brothers,"New York, NY",1852 May 1,Drawer,Mixed materials,Judaica Americana,Folder,NYC 927,doc_ja_nyc_927_1r.tif; doc_ja_nyc_927_1v.tif,,,,Broadsides,
ref1498,cid4640549,Documents,Broadsides,"Mayer, Elias. Cincinnati, OH, A hand out on a steamship for visitors to Cincinnati, Ohio, soliciting their purchases at various wholesale merchants, manufacturers, and artisans, including Elias Mayer, wholesale clothier","A hand out on a steamship for visitors to Cincinnati, Ohio, soliciting their purchases at various wholesale merchants, manufacturers, and artisans, including Elias Mayer, wholesale clothier","Mayer, Elias",,,"Cincinnati, OH",1847 February 1,Drawer,Mixed materials,Judaica Americana,Folder,OH 438,doc_ja_oh_438_1r.tif; doc_ja_oh_438_1v.tif; doc_ja_oh_438_2r.tif; doc_ja_oh_438_2v.tif,,,,Broadsides,"Mayer, Elias"
ref1499,cid4640548,Documents,Broadsides,"Meyer's. Boston, MA, Broadside with graphic of Meyer's store",Broadside with graphic of Meyer's store,,,Meyer's,"Boston, MA",1890,Drawer,Mixed materials,Billheads Post-1880,Folder,PHIL 787,doc_bhl_phil_787_1r.tif; doc_bhl_phil_787_1v.tif,,,,Broadsides,
ref1500,cid4640547,Documents,Broadsides,"Mickve Israel. Philadelphia, PA, For the relief of Jews who fled to Gibraltar from the brutality of the lawless Moorish Kabyle. Broadside was from a committee formed to solicit funds from the members of Mikveh Israel in Philadelphia. It includes a letter by Montifiore, and lists the members with addresses","For the relief of Jews who fled to Gibraltar from the brutality of the lawless Moorish Kabyle. Broadside was from a committee formed to solicit funds from the members of Mikveh Israel in Philadelphia. It includes a letter by Montifiore, and lists the members with addresses",,,Mickve Israel,"Philadelphia, PA",1859 December 25,Drawer,Mixed materials,Mickve Israel,Folder,52,doc_ja_phil_mi_52_1r.tif; doc_ja_phil_mi_52_1v.tif; doc_ja_phil_mi_52_2r.tif; doc_ja_phil_mi_52_2v.tif,,,,Broadsides,
ref1501,cid4640546,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1885 September 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 259,doc_bhl_la_259_1r.tif; doc_bhl_la_259_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1502,cid4640545,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1885 July 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 258,doc_bhl_la_258_1r.tif; doc_bhl_la_258_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1503,cid4640544,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1885 May 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 257,doc_bhl_la_257_1r.tif; doc_bhl_la_257_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1504,cid4640543,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1885 April 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 256,doc_bhl_la_256_1r.tif; doc_bhl_la_256_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1505,cid4640542,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1885 February 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 255,doc_bhl_la_255_1r.tif; doc_bhl_la_255_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1506,cid4640541,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1884 December 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 254,doc_bhl_la_254_1r.tif; doc_bhl_la_254_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1507,cid4640540,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Lists coal by barge in the New Orleans market for that month by name",Lists coal by barge in the New Orleans market for that month by name,"Miltenberger, C. A.",,,"New Orleans, LA",1885 October 1,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 260,doc_bhl_la_260_1r.tif; doc_bhl_la_260_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1508,cid4640539,Documents,Broadsides,"Miltenberger, C. A. New Orleans, LA, Printed letter discontinuing the lists of coal by barge in the New Orleans market",Printed letter discontinuing the lists of coal by barge in the New Orleans market,"Miltenberger, C. A.",,,"New Orleans, LA",1885 November 2,Drawer,Mixed materials,Billheads Post-1880,Folder,LA 261,doc_bhl_la_261_1r.tif; doc_bhl_la_261_1v.tif,,,,Broadsides,"Miltenberger, C. A."
ref1509,cid4640538,Documents,Broadsides,"Morris, Rob. Washington, DC",,"Morris, Rob",,,"Washington, DC",1862,Drawer,Mixed materials,Judaica Americana,Folder,VA 639,doc_ja_va_639_1r.tif; doc_ja_va_639_1v.tif,,,,Broadsides,"Morris, Rob"
ref1510,cid4640537,Documents,Broadsides,"Morton, Isaac, and Hart. NH, Students' reward of merit from teachers",Students' reward of merit from teachers,,,"Morton, Isaac, and Hart",NH,undated,Drawer,Mixed materials,Judaica Americana,Folder,NH 373,doc_ja_nh_373_1r.tif; doc_ja_nh_373_1v.tif,,,,Broadsides,
ref1511,cid4640536,Documents,Broadsides,"Moss & Brother. Philadelphia, PA, Printed ad for Odd Fellows Lodge with text from Moss and Brothers",Printed ad for Odd Fellows Lodge with text from Moss and Brothers,,,Moss & Brother,"Philadelphia, PA",1852 October 1,Drawer,Mixed materials,Billheads Pre-1880,Folder,PH 2057,doc_bhe_ph_2057_1r.tif; doc_bhe_ph_2057_1v.tif,,,,Broadsides,
ref1512,cid4640535,Documents,Broadsides,"Myer, Isaac. New York, NY, Broadside for scarabs for sale by Edwin W. Dayton",Broadside for scarabs for sale by Edwin W. Dayton,"Myer, Isaac",,,"New York, NY",1894,Folder,Mixed materials,Binder K,Page,51,lbr_fk_s51_1r.tif; lbr_fk_s51_1v.tif; lbr_fk_s51_2r.tif; lbr_fk_s51_2v.tif; lbr_fk_s51_3r.tif; lbr_fk_s51_3v.tif; lbr_fk_s51_4r.tif; lbr_fk_s51_4v.tif,,,,Broadsides,"Myer, Isaac"
ref1513,cid4640534,Documents,Broadsides,"Myers, E. and Solomon, Mr. Plymouth, England, Ad for E. Myers and son, son-in-law of Mr. Solomon of Exeter","Ad for E. Myers and son, son-in-law of Mr. Solomon of Exeter","Myers, E.","Solomon, Mr.",,"Plymouth, England",1885,Drawer,Mixed materials,Billheads Post-1880,Folder,MA 276,doc_bhl_ma_276_1r.tif; doc_bhl_ma_276_1v.tif,,,,Broadsides,"Myers, E."
ref1514,cid4640533,Documents,Broadsides,"Myers, Mordecai and Meyers, W. B. Galesburg, IL, Notification that the North American Land Agency, established by Maj. M. Myers in 1817, have been moved from New York City to Galesburg, Illinois","Notification that the North American Land Agency, established by Maj. M. Myers in 1817, have been moved from New York City to Galesburg, Illinois","Myers, Mordecai","Meyers, W. B.",,"Galesburg, IL",1858 September 1,Drawer,Mixed materials,Judaica Americana,Folder,NYC 950,doc_ja_nyc_950_1r.tif; doc_ja_nyc_950_1v.tif,,,,Broadsides,"Myers, Mordecai"
ref1515,cid4640532,Documents,Broadsides,"Nathans & Co. Providence, R. I., Advertisement for tailors",Advertisement for tailors,,,Nathans & Co.,"Providence, R. I.",undated,Drawer,Mixed materials,Judaica Americana,Folder,NYC 744,doc_ja_nyc_744_1r.tif; doc_ja_nyc_744_1v.tif,,,,Broadsides,
ref1516,cid4640531,Documents,Broadsides,"Nathans, David. Philadelphia, PA, Outlines the revised rules for the purchasers of the honors for the dedication of the new temple",Outlines the revised rules for the purchasers of the honors for the dedication of the new temple,"Nathans, David",,,"Philadelphia, PA",1823 January 5,Drawer,Mixed materials,Mickve Israel,Folder,11,doc_ja_phil_mi_11_1r.tif; doc_ja_phil_mi_11_1v.tif,,,,Broadsides,"Nathans, David"
ref1517,cid4640530,Documents,Broadsides,"Newburg and Rosenburg. Congers, NY, Broadside celebrating the opening of the lower factory of Newburg and Rosenburg",Broadside celebrating the opening of the lower factory of Newburg and Rosenburg,,,Newburg and Rosenburg,"Congers, NY",1895 June 15,Folder,Mixed materials,Binder M,Page,2,lbr_fm_s2_1r.tif; lbr_fm_s2_1v.tif,,,,Broadsides,
ref1518,cid4640529,Documents,Broadsides,"Noah, Mordecai Manuel. New York, NY, Playbill of ""Yusef Caramalli, or the Seige of Tripoli"" written by Mordecai M. Noah and performed at Park Theatre in New York City. Only known copy","Playbill of ""Yusef Caramalli, or the Seige of Tripoli"" written by Mordecai M. Noah and performed at Park Theatre in New York City. Only known copy","Noah, Mordecai Manuel",,,"New York, NY",1822 January 20,Folder,Mixed materials,Binder D,Page,5a,lbr_fd_s5a_1r.tif; lbr_fd_s5a_1v.tif,,,,Broadsides,"Noah, Mordecai Manuel"
ref1519,cid4640528,Documents,Broadsides,"Nones, Joseph B. New York, NY, Pronted broadside of Joseph B. Nones (1797-1887), listing the 37 states, Canada, Biritsh Indies, and French possessions where he is a noraty public. It outlines that he may issues passports, protections, and various other legal documents. The broadside is attached to his letter to the Secretary of State of Iowa asking for the renewal of his commission","Pronted broadside of Joseph B. Nones (1797-1887), listing the 37 states, Canada, Biritsh Indies, and French possessions where he is a noraty public. It outlines that he may issues passports, protections, and various other legal documents. The broadside is attached to his letter to the Secretary of State of Iowa asking for the renewal of his commission","Nones, Joseph B.",,,"New York, NY",1857 August 5,Drawer,Mixed materials,Judaica Americana,Folder,NYC 974,doc_ja_nyc_974_1r.tif; doc_ja_nyc_974_2r.tif; doc_ja_nyc_974_2v.tif,,,,Broadsides,"Nones, Joseph B."
ref1520,cid4640527,Documents,Broadsides,"Numerous. New York, List of peddlers licensed to sell foreign goods in New York with numerous Jewish names",List of peddlers licensed to sell foreign goods in New York with numerous Jewish names,Numerous,,,New York,1843 February 1,Drawer,Mixed materials,Judaica Americana,Folder,NY 398,doc_ja_ny_398_1r.tif; doc_ja_ny_398_1v.tif,,,,Broadsides,Numerous
ref1521,cid4640526,Documents,Broadsides,"Numerous. Philadelphia, PA, Approval form for individual organizations to become part of ""The Society of the United Hebrew Charities of Philadelphia"", formed in 1901 with Jacob Gimbel as its first president. Forerunner to 20th century federations","Approval form for individual organizations to become part of ""The Society of the United Hebrew Charities of Philadelphia"", formed in 1901 with Jacob Gimbel as its first president. Forerunner to 20th century federations",Numerous,,,"Philadelphia, PA",1869 March 29,Folder,Mixed materials,Binder F,Page,23,lbr_ff_s23_1r.tif; lbr_ff_s23_1v.tif,,,,Broadsides,Numerous
